;Types
NOVA_MEMREF
NOVA_OP
NOVA_IO
NOVA_PC
ECLIPSE_MEMREF
ECLIPSE_OP
ECLIPSE_PC
ECLIPSE_STACK
EAGLE_IO
EAGLE_PC
EAGLE_OP
EAGLE_MEMREF
EAGLE_STACK
;
;Formats
DERR_FMT
IMM_MODE_2_WORD_FMT
IMM_ONEACC_FMT
IO_FLAGS_DEV_FMT
IO_RESET_FMT
IO_TEST_DEV_FMT
LNDO_4_WORD_FMT
NOACC_MODE_3_WORD_FMT
NOACC_MODE_IMM_IND_3_WORD_FMT
NOACC_MODE_IND_2_WORD_E_FMT
NOACC_MODE_IND_2_WORD_X_FMT
NOACC_MODE_IND_3_WORD_FMT
NOACC_MODE_IND_3_WORD_XCALL_FMT
NOACC_MODE_IND_4_WORD_FMT
NOVA_DATA_IO_FMT
NOVA_NOACC_EFF_ADDR_FMT
NOVA_ONEACC_EFF_ADDR_FMT
NOVA_TWOACC_MULT_OP_FMT
ONEACC_IMM_2_WORD_FMT
ONEACC_IMMWD_2_WORD_FMT
ONEACC_IMM_3_WORD_FMT
ONEACC_IMMDWD_3_WORD_FMT
ONEACC_MODE_2_WORD_E_FMT
ONEACC_MODE_2_WORD_X_B_FMT
ONEACC_MODE_3_WORD_FMT
ONEACC_MODE_IND_2_WORD_E_FMT
ONEACC_MODE_IND_2_WORD_X_FMT
ONEACC_MODE_IND_3_WORD_FMT
ONEACC_1_WORD_FMT
UNIQUE_1_WORD_FMT
UNIQUE_2_WORD_FMT
SPLIT_8BIT_DISP_FMT
THREE_WORD_DO_FMT
TWOACC_1_WORD_FMT
TWOACC_IMM_2_WORD_FMT
WSKB_FMT
;
;Instructions
LJSR,0xa6e9,0xe7ff,3,11,9
LLDB,0x84c9,0x87ff,3,24,10
LLEF,0x83e9,0x87ff,3,27,10
LLEFB,0x84e9,0x87ff,3,24,10
LMRF,0x87c9,0xffff,1,29,10
LNADD,0x8218,0x87ff,3,27,10
LNADI,0x8618,0x87ff,3,8,10
LNDIV,0x82d8,0x87ff,3,27,10
LNDO,0x8698,0x87ff,4,6,9
LNDSZ,0x86d9,0xe7ff,3,11,9
LNISZ,0x86c9,0xe7ff,3,11,9
LNLDA,0x83c9,0x87ff,3,27,11
LNMUL,0x8298,0x87ff,3,27,11
LNSBI,0x8658,0x87ff,3,8,11
LNSTA,0x83d9,0x87ff,3,27,11
LNSUB,0x8258,0x87ff,3,27,11
LOB,0x8508,0x87ff,1,33,1
LPEF,0xa6f9,0xe7ff,3,11,11
LPEFB,0xc6f9,0xe7ff,3,7,10
LPHY,0x87e9,0xffff,1,29,10
LPSHJ,0xC6C9,0xE7FF,3,11,9
LSH,0x8288,0x87ff,1,33,5
LWDO,0x8798,0x87ff,4,6,9
LWDSZ,0x86f9,0xe7ff,3,11,9
LWISZ,0x86e9,0xe7ff,3,11,9
LWLDA,0x83f9,0x87ff,3,27,11
LWSTA,0x84f9,0x87ff,3,27,11
MOV,0x8200,0x8700,1,17,1
MSKO,0x643f,0xe7ff,1,28,8
MUL,0xc7c8,0xffff,1,29,5
NADD,0x8049,0x87ff,1,33,10
NADDI,0xc639,0xe7ff,2,18,10
NADI,0x8599,0x87ff,1,2,10
NCLID,0x683f,0xffff,1,29,8
NEG,0x8100,0x8700,1,17,1
NIO,0x6000,0xff00,1,3,2
NLDAI,0xc629,0xe7ff,2,18,10
NMUL,0x8069,0x87ff,1,33,10
NSBI,0x85a9,0x87ff,1,2,10
NSUB,0x8059,0x87ff,1,33,10
PIO,0x85d9,0x87ff,1,33,8
POP,0x8688,0x87ff,1,33,7
POPJ,0x9fc8,0xffff,1,29,7
PRTRST,0x85d9,0xffff,1,29,8
PRTSEL,0x783f,0xffff,1,29,2
PSH,0x8648,0x87ff,1,33,7
PSHJ,0x84b8,0xfcff,2,9,7
READS,0x613f,0xe7ff,1,28,8
RTN,0xafc8,0xffff,1,29,7
SAVE,0xe7c8,0xffff,2,30,7
SBI,0x8048,0x87ff,1,2,5
SEX,0x8349,0x87ff,1,33,10
SGT,0x8208,0x87ff,1,33,6
SKP,0x6700,0xff00,1,5,2
SNB,0x85f8,0x87ff,1,33,6
SPSR,0xa7a9,0xffff,1,29,10
SPTE,0xe729,0xffff,1,29,10
SSPT,0xe7d9,0xffff,1,29,10
STA,0x4000,0xe000,1,16,0
STAFP,0xc679,0xe7ff,1,28,12
STASB,0xc659,0xe7ff,1,28,12
STASL,0xa679,0xe7ff,1,28,12
STASP,0xa659,0xe7ff,1,28,12
STATS,0x8659,0xe7ff,1,28,12
STB,0x8608,0x87ff,1,33,5
SUB,0x8500,0x8700,1,17,1
SZB,0x8488,0x87ff,1,33,6
SZBO,0x84c8,0x87ff,1,33,5
WADC,0x8249,0x87ff,1,33,10
WADD,0x8149,0x87ff,1,33,10
WADDI,0x8689,0xe7ff,3,20,10
WADI,0x84b9,0x87ff,1,2,10
WANC,0x8549,0x87ff,1,33,10
WAND,0x8449,0x87ff,1,33,10
WANDI,0x8699,0xe7ff,3,21,10
WASH,0x8279,0x87ff,1,33,10
WASHI,0xc6a9,0xe7ff,2,18,10
WBLM,0xe749,0xffff,1,29,11
WBR,0x8038,0x843f,1,31,9
WBTO,0x8299,0x87ff,1,33,10
WBTZ,0x82a9,0x87ff,1,33,10
WCLM,0x8569,0x87ff,1,33,10
WCMV,0x8779,0xFFFF,1,29,11
WCOM,0x8459,0x87ff,1,33,10
